Name,Homepage
"hotovo-aider-desk","https://github.com/hotovo/aider-desk"
"hovrly","https://hovrly.com/"
"http-toolkit","https://httptoolkit.tech/"
"httpie-desktop","https://httpie.io/product"
"hush","https://oblador.github.io/hush/"
"hyper","https://hyper.is/"
"hyperkey","https://hyperkey.app/"
"iaito","https://www.radare.org/n/iaito.html"
"ibabel","https://macinchem.org/ibabel/"
"icon-composer","https://developer.apple.com/icon-composer/"
"icon-shelf","https://icon-shelf.github.io/"
"iconset","https://iconset.io/"
"igv-desktop","https://igv.org/doc/desktop/"
"iina","https://iina.io/"
"image2icon","https://www.img2icnsapp.com/"
"imageoptim","https://imageoptim.com/mac"
"inform","https://ganelson.github.io/inform-website"
"inkscape","https://inkscape.org/"
"inkstitch","https://inkstitch.org/"
"inky","https://www.inklestudios.com/ink/"
"input-source-pro","https://inputsource.pro/"
"invisor-lite","https://www.invisorapp.com/"
"ipaverse","https://github.com/bahattinkoc/ipaverse"
"ipsecuritas","https://www.lobotomo.com/products/IPSecuritas/"
"ishare","https://github.com/castdrian/ishare/"
"itch","https://itch.io/app"
"iterm2","https://iterm2.com/"
"itermai","https://iterm2.com/ai-plugin.html"
"itermbrowserplugin","https://iterm2.com/browser-plugin.html"
"itk-snap","https://www.itksnap.org/pmwiki/pmwiki.php"
"itsycal","https://www.mowglii.com/itsycal/"
"itsytv","https://itsytv.app/"
"jabref","https://www.jabref.org/"
"jalview","https://www.jalview.org/"
"jami","https://jami.net/"
"jamovi","https://www.jamovi.org/"
"jamulus","https://jamulus.io/"
"jan","https://jan.ai/"
"jasp","https://jasp-stats.org/"
"jasper-app","https://jasperapp.io/"
"jbrowse","https://jbrowse.org/"
"jclasslib-bytecode-viewer","https://github.com/ingokegel/jclasslib"
"jdk-mission-control","https://jdk.java.net/jmc/9/"
"jdownloader","https://jdownloader.org/"
"jellyfin","https://jellyfin.org/"
"jellyfin-media-player","https://jellyfin.org/"
"jet-pilot","https://www.jet-pilot.app/"
"jiggler","https://www.sticksoftware.com/software/Jiggler.html"
"joplin","https://joplinapp.org/"
"josm","https://josm.openstreetmap.de/"
"jt-bridge","https://jt-bridge.eller.nu/"
"jumpcut","https://snark.github.io/jumpcut/"
"jupyterlab-app","https://github.com/jupyterlab/jupyterlab-desktop"
"kando","https://kando.menu/"
"kap","https://getkap.co/"
"karabiner-elements","https://karabiner-elements.pqrs.org/"
"kate","https://kate-editor.org/"
"kdenlive","https://kdenlive.org/"
"kdiff3","https://invent.kde.org/sdk/kdiff3"
"keepassxc","https://keepassxc.org/"
"keepingyouawake","https://keepingyouawake.app/"
"keet","https://keet.io/"
"keeweb","https://keeweb.info/"
"keka","https://www.keka.io/"
"kekaexternalhelper","https://github.com/aonez/Keka/wiki/Default-application"
"kextviewr","https://objective-see.org/products/kextviewr.html"
"key-codes","https://manytricks.com/keycodes/"
"keycastr","https://github.com/keycastr/keycastr"
"keyclu","https://sergii.tatarenkov.name/keyclu/support/"
"keyman","https://keyman.com/"
"keystore-explorer","https://keystore-explorer.org/"
"kicad","https://kicad.org/"
"kid3","https://kid3.kde.org/"
"kitlangton-hex","https://hex.kitlangton.com/"
"kiwix","https://www.kiwix.org/"
"knockknock","https://objective-see.org/products/knockknock.html"
"kodi","https://kodi.tv/"
"kopiaui","https://kopia.io/"
"kotlin-lsp","https://github.com/Kotlin/kotlin-lsp"
"kotlin-native","https://kotlinlang.org/docs/reference/native-overview.html"
"krita","https://krita.org/"
"kunkun","https://kunkun.sh/"
"labplot","https://labplot.kde.org/"
"langflow","https://www.langflow.org/desktop"
"lapce","https://lapce.dev/"
"latest","https://max.codes/latest"
"latexit","https://www.chachatelier.fr/latexit/"
"leapp","https://www.leapp.cloud/"
"lens","https://lenshq.io/"
"libcblite-community","https://docs.couchbase.com/couchbase-lite/current/"
"libreoffice","https://www.libreoffice.org/"
"librepcb","https://librepcb.org/"
"licecap","https://www.cockos.com/licecap/"
"licensed-app","https://amarsagoo.info/licensed/"
"linearmouse","https://linearmouse.org/"
"livebook","https://livebook.dev/"
"llamabarn","https://github.com/ggml-org/LlamaBarn"
"locationsimulator","https://github.com/Schlaubischlump/LocationSimulator"
"lockrattler","https://eclecticlight.co/lockrattler-systhist/"
"logseq","https://github.com/logseq/logseq"
"loom","https://www.loom.com/"
"losslesscut","https://github.com/mifi/lossless-cut"
"low-profile","https://github.com/ninxsoft/LowProfile"
"ltspice","https://www.analog.com/en/resources/design-tools-and-calculators/ltspice-simulator.html"
"luxury-yacht","https://luxury-yacht.app/"
"lyric-fever","https://lyricfever.com/"
"lyrics-master","https://lyricsmaster.app/desktop/"
"lyricsx","https://github.com/ddddxxx/LyricsX"
"mac-monitor","https://github.com/Brandon7CC/mac-monitor"
"mac-mouse-fix","https://macmousefix.com/"
"maccy","https://maccy.app/"
"macdown-3000","https://macdown.app/"
"macgamestore","https://www.macgamestore.com/app/"
"macgdbp","https://www.bluestatic.org/software/macgdbp/"
"macgesture","https://github.com/MacGesture/MacGesture"
"macpacker","https://macpacker.app/"
"macpass","https://macpass.github.io/"
"macskk","https://github.com/mtgto/macSKK"
"macsvg","https://macsvg.org/"
"macsymbolicator","https://github.com/inket/MacSymbolicator/"
"mactex","https://www.tug.org/mactex/"
"mactracker","https://mactracker.ca/"
"maestral","https://maestral.app/"
"maestro","https://runmaestro.ai/"
"magicquit","https://magicquit.com/"
"maintenance","https://www.titanium-software.fr/en/maintenance.html"
"markright","https://github.com/dvcrn/markright"
"marta","https://marta.sh/"
"mcpbundler","https://mcp-bundler.com/"
"media-converter","https://media-converter.sourceforge.io/"
"mediahuman-audio-converter","https://www.mediahuman.com/audio-converter/"
"mediainfo","https://mediaarea.net/en/MediaInfo"
"meetingbar","https://github.com/leits/MeetingBar"
"meld","https://gitlab.com/dehesselle/meld_macos"
"mem","https://get.mem.ai/"
"memory-cleaner","https://nektony.com/memory-cleaner"
"memoryanalyzer","https://eclipse.dev/mat/"
"menu-bar-splitter","https://github.com/jwhamilton99/menu-bar-splitter"
"menumeters","https://member.ipmu.jp/yuji.tachikawa/MenuMetersElCapitan/"
"meridiem","https://meridiem.markwhen.com/"
"meshlab","https://www.meshlab.net/"
"metamer","https://eclecticlight.co/xattred-sandstrip-xattr-tools/"
"meteorologist","https://heat-meteo.sourceforge.io/"
"mi","https://www.mimikaki.net/"
"microsoft-auto-update","https://docs.microsoft.com/officeupdates/release-history-microsoft-autoupdate"
"microsoft-edge","https://www.microsoft.com/en-us/edge?form="
"microsoft-teams","https://www.microsoft.com/en/microsoft-teams/group-chat-software/"
"midi-monitor","https://www.snoize.com/MIDIMonitor/"
"midikeys","https://www.manyetas.com/creed/midikeys.html"
"miditrail","https://www.yknk.org/miditrail/en/"
"midiview","https://hautetechnique.com/midi/midiview/"
"mindwtr","https://github.com/dongdongbh/Mindwtr"
"miniforge","https://github.com/conda-forge/miniforge"
"minisim","https://www.minisim.app/"
"minizincide","https://www.minizinc.org/index.html"
"mints","https://eclecticlight.co/mints-a-multifunction-utility/"
"mist","https://github.com/ninxsoft/Mist"
"mitmproxy","https://mitmproxy.org/"
"mixxx","https://www.mixxx.org/"
"mmex","https://moneymanagerex.org/"
"monal","https://monal-im.org/"
"monitorcontrol","https://github.com/MonitorControl/MonitorControl"
"moonlight","https://moonlight-stream.org/"
"mountmate","https://homielab.com/page/mountmate"
"mounty","https://mounty.app/"
"mp3gain-express","https://projects.sappharad.com/mp3gain/"
"mps","https://www.jetbrains.com/mps/"
"mucommander","https://www.mucommander.com/"
"mullvad-browser","https://mullvad.net/browser"
"multipatch","https://projects.sappharad.com/multipatch/"
"museeks","https://museeks.io/"
"musescore","https://musescore.org/"
"muzzle","https://muzzleapp.com/"
"mx-power-gadget","https://www.seense.com/menubarstats/mxpg/"
"mysql-shell","https://dev.mysql.com/downloads/shell/"
"mysqlworkbench","https://www.mysql.com/products/workbench/"
"mythic","https://getmythic.app/"
"namechanger","https://mrrsoftware.com/namechanger/"
"naps2","https://www.naps2.com/"
"neat","https://neat.run/"
"neo-network-utility","https://www.devontechnologies.com/apps/freeware"
"neo4j-desktop","https://neo4j.com/download/"
"neohtop","https://abdenasser.github.io/neohtop/"
"nessie-app","https://nessielabs.com/"
"netbeans","https://netbeans.apache.org/"
"netiquette","https://objective-see.org/products/netiquette.html"
"netlogo","https://www.netlogo.org/"
"netnewswire","https://netnewswire.com/"
"netron","https://github.com/lutzroeder/netron"
"nheko","https://nheko-reborn.github.io/"
"nightshade","https://nightshade.cs.uchicago.edu/index.html"
"nimble-commander","https://magnumbytes.com/"
"nimblenote","https://nimblenote.app/"
"nisus-thesaurus","https://nisus.com/Thesaurus/"
"nook","https://browsewithnook.com/"
"nordvpn","https://nordvpn.com/"
"nosql-workbench","https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/workbench.html"
"notion","https://www.notion.com/"
"notion-calendar","https://www.notion.com/product/calendar"
"notion-mail","https://www.notion.com/product/mail"
"notunes","https://github.com/tombonez/noTunes"
"nperf","https://www.nperf.com/"
"nteract","https://github.com/nteract/desktop"
"nugget","https://github.com/leminlimez/Nugget"
"numi","https://numi.app/"
"nvidia-geforce-now","https://www.nvidia.com/en-us/geforce-now/download/"
"nvidia-nsight-systems","https://developer.nvidia.com/nsight-systems"
"nvidia-sync","https://docs.nvidia.com/dgx/dgx-spark/nvidia-sync.html"
"ob-xf","https://surge-synth-team.org/ob-xf/"
"obs","https://obsproject.com/"
"obsidian","https://obsidian.md/"
"ocenaudio","https://www.ocenaudio.com/en"
"odbc-manager","https://www.odbcmanager.net/"
"omnidisksweeper","https://www.omnigroup.com/more/"
"onionshare","https://onionshare.org/"
"onlook","https://onlook.com/"
"ontime","https://getontime.no/"
